3,2020-12-04 13:40:20.931788,TaskArrived,0,0_M0,4,RANDOM
3,2020-12-04 13:40:20.932787,TaskStarting,0,0_M0,4,RANDOM
1,2020-12-04 13:40:20.935778,TaskArrived,0,0_M1,3,RANDOM
1,2020-12-04 13:40:20.938770,TaskStarting,0,0_M1,3,RANDOM
2,2020-12-04 13:40:20.942758,TaskArrived,0,0_M2,2,RANDOM
2,2020-12-04 13:40:20.944771,TaskStarting,0,0_M2,2,RANDOM
1,2020-12-04 13:40:22.184626,TaskArrived,1,1_M0,4,RANDOM
1,2020-12-04 13:40:22.186623,TaskStarting,1,1_M0,4,RANDOM
2,2020-12-04 13:40:22.188616,TaskArrived,1,1_M1,4,RANDOM
2,2020-12-04 13:40:22.189613,TaskStarting,1,1_M1,4,RANDOM
1,2020-12-04 13:40:22.706232,TaskArrived,2,2_M0,4,RANDOM
1,2020-12-04 13:40:22.707228,TaskStarting,2,2_M0,4,RANDOM
3,2020-12-04 13:40:22.711219,TaskArrived,2,2_M1,1,RANDOM
3,2020-12-04 13:40:22.713215,TaskStarting,2,2_M1,1,RANDOM
3,2020-12-04 13:40:22.719197,TaskArrived,2,2_M2,1,RANDOM
3,2020-12-04 13:40:22.720196,TaskStarting,2,2_M2,1,RANDOM
1,2020-12-04 13:40:22.870824,TaskArrived,3,3_M0,4,RANDOM
1,2020-12-04 13:40:22.871826,TaskStarting,3,3_M0,4,RANDOM
1,2020-12-04 13:40:22.884788,TaskArrived,3,3_M1,1,RANDOM
1,2020-12-04 13:40:22.885785,TaskStarting,3,3_M1,1,RANDOM
2,2020-12-04 13:40:22.889779,TaskArrived,3,3_M2,2,RANDOM
2,2020-12-04 13:40:22.891773,TaskStarting,3,3_M2,2,RANDOM
2,2020-12-04 13:40:23.553568,TaskArrived,4,4_M0,2,RANDOM
2,2020-12-04 13:40:23.554564,TaskStarting,4,4_M0,2,RANDOM
2,2020-12-04 13:40:23.560547,TaskArrived,4,4_M1,4,RANDOM
2,2020-12-04 13:40:23.561545,TaskStarting,4,4_M1,4,RANDOM
2,2020-12-04 13:40:23.585483,TaskArrived,4,4_M2,3,RANDOM
2,2020-12-04 13:40:23.586484,TaskStarting,4,4_M2,3,RANDOM
2,2020-12-04 13:40:23.846782,TaskFinished,0,0_M2,0,RANDOM
1,2020-12-04 13:40:24.075172,TaskFinished,3,3_M1,0,RANDOM
3,2020-12-04 13:40:24.689808,TaskFinished,2,2_M1,0,RANDOM
3,2020-12-04 13:40:24.694795,TaskFinished,2,2_M2,0,RANDOM
1,2020-12-04 13:40:25.154536,TaskFinished,0,0_M1,0,RANDOM
3,2020-12-04 13:40:25.701076,TaskFinished,0,0_M0,0,RANDOM
2,2020-12-04 13:40:25.713046,TaskArrived,0,0_R0,3,RANDOM
2,2020-12-04 13:40:25.714046,TaskStarting,0,0_R0,3,RANDOM
2,2020-12-04 13:40:25.717034,TaskArrived,0,0_R1,2,RANDOM
2,2020-12-04 13:40:25.718032,TaskStarting,0,0_R1,2,RANDOM
2,2020-12-04 13:40:26.210743,TaskFinished,3,3_M2,0,RANDOM
2,2020-12-04 13:40:26.215730,TaskFinished,4,4_M0,0,RANDOM
2,2020-12-04 13:40:27.229037,TaskFinished,1,1_M1,0,RANDOM
2,2020-12-04 13:40:27.239011,TaskFinished,4,4_M2,0,RANDOM
1,2020-12-04 13:40:27.267933,TaskFinished,1,1_M0,0,RANDOM
1,2020-12-04 13:40:27.271923,TaskFinished,2,2_M0,0,RANDOM
1,2020-12-04 13:40:27.275912,TaskFinished,3,3_M0,0,RANDOM
1,2020-12-04 13:40:27.299847,TaskArrived,1,1_R0,4,RANDOM
1,2020-12-04 13:40:27.300847,TaskStarting,1,1_R0,4,RANDOM
2,2020-12-04 13:40:27.302841,TaskArrived,1,1_R1,2,RANDOM
2,2020-12-04 13:40:27.303852,TaskStarting,1,1_R1,2,RANDOM
1,2020-12-04 13:40:27.305835,TaskArrived,2,2_R0,1,RANDOM
1,2020-12-04 13:40:27.306831,TaskStarting,2,2_R0,1,RANDOM
1,2020-12-04 13:40:27.309822,TaskArrived,3,3_R0,4,RANDOM
1,2020-12-04 13:40:27.310820,TaskStarting,3,3_R0,4,RANDOM
2,2020-12-04 13:40:28.253301,TaskFinished,4,4_M1,0,RANDOM
2,2020-12-04 13:40:28.261278,TaskFinished,0,0_R1,0,RANDOM
1,2020-12-04 13:40:28.264272,TaskArrived,4,4_R0,4,RANDOM
1,2020-12-04 13:40:28.265269,TaskStarting,4,4_R0,4,RANDOM
2,2020-12-04 13:40:29.267109,TaskFinished,0,0_R0,0,RANDOM
1,2020-12-04 13:40:29.295035,TaskFinished,2,2_R0,0,RANDOM
2,2020-12-04 13:40:30.285450,TaskFinished,1,1_R1,0,RANDOM
1,2020-12-04 13:40:32.326152,TaskFinished,1,1_R0,0,RANDOM
1,2020-12-04 13:40:32.333135,TaskFinished,3,3_R0,0,RANDOM
1,2020-12-04 13:40:32.337123,TaskFinished,4,4_R0,0,RANDOM
1,2020-12-04 13:40:52.084752,TaskArrived,0,0_M0,2,RR
1,2020-12-04 13:40:52.085749,TaskStarting,0,0_M0,2,RR
2,2020-12-04 13:40:53.690059,TaskArrived,1,1_M0,3,RR
2,2020-12-04 13:40:53.691056,TaskStarting,1,1_M0,3,RR
3,2020-12-04 13:40:53.693051,TaskArrived,1,1_M1,1,RR
3,2020-12-04 13:40:53.694051,TaskStarting,1,1_M1,1,RR
1,2020-12-04 13:40:53.696042,TaskArrived,1,1_M2,3,RR
1,2020-12-04 13:40:53.697042,TaskStarting,1,1_M2,3,RR
2,2020-12-04 13:40:53.926428,TaskArrived,2,2_M0,3,RR
